maximum_low_carbon_build_rate,electrification_start_year,electricity_demand_in_2050,average_life_of_low_carbon_generation,renewable_electricity_in_2020,ccs_by_2020,nuclear_change_2012_2020,maximum_low_carbon_build_rate_contraction,maximum_low_carbon_build_rate_expansion,minimum_low_carbon_build_rate,maxmean2050,minmean2050,annual_change_in_non_electricity_traded_emissions,electricity_emissions_during_cb4,emissions_factor_2030,electricity_emissions_absolute_2050
84.0,2032.0,533.0,35.0,0.14509525420813862,1.065185128391318,9.0,0.28875922258574355,0.3347521316164246,5.539074033715569,2.1097854006600523,0.18340767036875072,-0.02317869113223993,606.0301884507177,4.19594602864081,0.0
51.0,2024.0,301.0,25.0,0.11249825684884873,3.2477253674705153,-5.0,0.7021679634590569,0.33054362889453504,0.21775841730100723,2.4902660584695604,0.12802332201506703,-0.014661153348974845,747.6376289548404,99.9681039670567,0.0
99.0,2038.0,389.0,50.0,0.21161486154069628,5.059001216603854,-38.0,0.4472481688058745,0.8341658188958171,4.540192122055024,2.956080985768007,0.23414448713824665,-0.008400164589693317,630.3573612077283,0.0,0.0
23.0,2033.0,371.0,32.0,0.33830019221737456,0.6413330928569634,3.0,0.21904388411544085,0.9669929475598568,3.347590423723823,2.257313165993263,0.3444244305338586,-0.03914441451585068,423.8021764572269,41.86819982767462,13.775242835829932
30.0,2038.0,382.0,21.0,0.2110539659370174,2.9568016520454026,-7.0,0.9054747725836705,0.3902261404518169,4.482865279086909,2.446004839546368,0.1339362189389331,0.0033015814211904138,703.4616135425756,60.080612870233274,23.544862597453864
69.0,2020.0,625.0,33.0,0.321330253009418,3.77417989011147,-45.0,0.6742208511176292,0.35696795171122,3.6129746685090494,1.9475015533515876,0.40103581544888833,0.0003507371623198696,752.107908618218,33.52979919569971,0.0
1.0,2025.0,683.0,64.0,0.17489903714722782,2.1705466506530975,-21.0,0.1223452870172167,0.40150005035369885,3.5693131825943283,2.380989350960471,0.171047048862775,-0.006446160289099161,851.8479913926194,273.78785294619877,209.06133704842355
73.0,2031.0,581.0,20.0,0.05625731608917057,2.1495132542936544,-9.0,0.42712091892976123,0.9446465672282061,3.075467106589775,2.2001987794675317,0.180356926480264,-0.0005022574267256538,766.5590681051526,3.6132061409849094,4.301829329785699
47.0,2035.0,656.0,28.0,0.07675986582131776,2.2528825648685205,-7.0,0.9589424395196634,0.5331484747581781,8.025385051525777,1.9289853147319418,0.16793776473979097,0.009923091712049248,794.3998984100529,24.68039342966957,24.052594216288416
69.0,2020.0,442.0,46.0,0.21823526480493488,1.2661960909112038,-8.0,0.5681213274675387,0.9407792156964068,1.3508706536244892,2.6681670609243677,0.40800450292635215,-0.004628173246789727,563.2716931407675,2.2077066832248113,0.0
7.0,2023.0,485.0,68.0,0.3467863950441195,1.7640561133449262,-19.0,0.14980183421271234,0.434388108518468,6.244484277631115,2.8825395471473216,0.3004966558492276,-0.03283298854738305,586.4738277382204,165.5825783372307,80.783649797995
59.0,2031.0,384.0,29.0,0.26140584456509836,5.834955428601175,-57.0,0.18004560235935513,0.5118436785664268,9.446554359080066,2.7838823949903113,0.4805816494959009,-0.0029794465963051964,667.3077710852509,2.521681677967563,0.02311284934099685
93.0,2029.0,383.0,53.0,0.32894551634354313,4.170289918594106,-55.0,0.2797933718927883,0.5235462103030434,1.345378272832916,2.7624744358034374,0.43873842748204606,-0.03426925224195628,499.80312868637213,0.0,0.0
22.0,2023.0,480.0,53.0,0.2709801039433462,4.419002534925056,-23.0,0.45018375236528496,0.619332100784747,9.992728603906603,1.5345731048415385,0.11574733645092557,-0.006419445241836512,664.0496337631612,95.0905376827904,11.544165550547074
97.0,2032.0,389.0,67.0,0.20124066038046948,5.547515143370879,-46.0,0.7442363230093132,0.3864732587118216,1.2588578000531725,1.7210900725282694,0.46639750962887816,-0.018761210302832728,780.4824184053,189.97316633817988,0.0
75.0,2031.0,363.0,25.0,0.31440721285053397,2.644134754166921,-23.0,0.9695951172386199,0.31164121116674115,8.79035928211507,1.582117267368266,0.399280220927721,0.0009553318998589758,619.0137873071218,0.0,0.0
